scanned_id,shelf_id,isbn_13,isbn_10,gbooks_id,gbooks_href,title,subtitle,author,all_authors,category,all_categories,loc_number,loc_href
"9780465030798","Scie-Dougla-IAmaStrang-9780465030798","9780465030798","0465030793","78S6swEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780465030798","I Am a Strange Loop","","Douglas R. Hofstadter","Douglas R. Hofstadter","Science","Science","","https://www.loc.gov/search?q=9780465030798"
"9780465030910","Phil-Dougla-TheMind'sI-9780465030910","9780465030910","0465030912","SSBJPwAACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780465030910","The Mind's I","Fantasies and Reflections on Self and Soul","Douglas R. Hofstadter","Douglas R. Hofstadter;Daniel Clement Dennett","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780465030910"
"9780805080124","Lang-GuyDeu-TheUnfoldi-9780805080124","9780805080124","0805080120","0G1WAhzSX4QC","https://www.google.com/search?tbm=bks&q=isbn:9780805080124","The Unfolding of Language","An Evolutionary Tour of Mankind's Greatest Invention","Guy Deutscher","Guy Deutscher","Language Arts & Disciplines","Language Arts & Disciplines","","https://www.loc.gov/search?q=9780805080124"
"9780465018475","Phil-Dougla-Surfacesan-9780465018475","9780465018475","0465018475","92e30rzcoCkC","https://www.google.com/search?tbm=bks&q=isbn:9780465018475","Surfaces and Essences","Analogy as the Fuel and Fire of Thinking","Douglas Hofstadter","Douglas Hofstadter;Emmanuel Sander","Philosophy","Philosophy","BD190 .H64 2013","https://www.loc.gov/search?q=9780465018475"
"9780393242072","Phil-Daniel-FromBacter-9780393242072","9780393242072","0393242072","L78PDQEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780393242072","From Bacteria to Bach and Back","The Evolution of Minds","Daniel Clement Dennett","Daniel Clement Dennett;Daniel C. Dennett","Philosophy","Philosophy","B105.C477 D445 2017","https://www.loc.gov/search?q=9780393242072"
"9780062846716","Youn-AngieT-UntiTeenNo-9780062846716","9780062846716","006284671X","NA9fzQEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780062846716","Unti Teen Novel - DB","","Angie Thomas","Angie Thomas;TBD","Young Adult Fiction","Young Adult Fiction","http://lccn.loc.gov/2020946928","https://www.loc.gov/search?q=9780062846716"
"9781982138127","Biog-Chaste-IHaveSomet-9781982138127","9781982138127","1982138122","Fmv6DwAAQBAJ","https://www.google.com/search?tbm=bks&q=isbn:9781982138127","I Have Something to Tell You","A Memoir","Chasten Buttigieg","Chasten Buttigieg","Biography & Autobiography","Biography & Autobiography","","https://www.loc.gov/search?q=9781982138127"
"9780399590504","BIOG-TaraWe-Educated-9780399590504","9780399590504","0399590501","0RGjtAEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780399590504","Educated","A Memoir","Tara Westover","Tara Westover","BIOGRAPHY & AUTOBIOGRAPHY","BIOGRAPHY & AUTOBIOGRAPHY","CT3262.I2 W47 2018","https://www.loc.gov/search?q=9780399590504"
"9780140445770","Phil-SorenK-Either/Or-9780140445770","9780140445770","0140445773","qUA-_xdRPgAC","https://www.google.com/search?tbm=bks&q=isbn:9780140445770","Either/Or","A Fragment of Life","Soren Kierkegaard","Soren Kierkegaard","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140445770"
"9780140444490","Phil-SorenK-FearandTre-9780140444490","9780140444490","0140444491","7C48aviJFxgC","https://www.google.com/search?tbm=bks&q=isbn:9780140444490","Fear and Trembling","Dialectical Lyric by Johannes De Silentio","Soren Kierkegaard","Soren Kierkegaard","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140444490"
